alpha_diff,alpha_first,alpha_second,aromatic_diff,aromatic_first,aromatic_second,beta_diff,beta_first,beta_second,branched_diff,branched_first,branched_second,bulkiness_diff,bulkiness_first,bulkiness_second,cart_cart_bonded,cart_ddg,cart_dslf_fa13,cart_fa_atr,cart_fa_dun_dev,cart_fa_dun_rot,cart_fa_dun_semi,cart_fa_elec,cart_fa_intra_atr_xover4,cart_fa_intra_elec,cart_fa_intra_rep_xover4,cart_fa_intra_sol_xover4,cart_fa_rep,cart_fa_sol,cart_hbond_bb_sc,cart_hbond_lr_bb,cart_hbond_sc,cart_hbond_sr_bb,cart_hxl_tors,cart_lk_ball,cart_lk_ball_bridge,cart_lk_ball_bridge_uncpl,cart_lk_ball_iso,cart_omega,cart_p_aa_pp,cart_rama_prepro,cart_ref,charge_diff,charge_first,charge_second,coil_diff,coil_first,coil_second,consensus_hydrophobicity_diff,consensus_hydrophobicity_first,consensus_hydrophobicity_second,da_acc,da_asa_p,da_don,da_heavy,da_nh,dapp_charge,dasa,dasa_hph,dasa_hyd,dasa_vdw,db_rotn,dcoeff_280,dcoeff_fric,ddebye,ddipole_moment,deccen,deff_elc,deff_vdw,deself,desg,dg_o_w_diff,dg_o_w_first,dg_o_w_second,dgly,dh_ema,dh_emd,dhelicity,dhenry,dhyd_moment,dmobility,dnet_charge,dpi_3d,dpi_seq,dr_gyr,dr_solv,ds,ds_ddg,ds_elec,ds_entropy,ds_vdw,dsed_const,dvolume,dzdipole,dzeta,dzquadrupole,flexibility_diff,flexibility_first,flexibility_second,fractionburied,hydrophobicarea,hydrophobicity_diff,hydrophobicity_first,hydrophobicity_second,hydrophobicratio,logd_diff,logd_first,logd_second,mol_wt_diff,mol_wt_first,mol_wt_second,mono_ddg,mono_dslf_ca_dih,mono_dslf_cs_ang,mono_dslf_ss_dih,mono_dslf_ss_dst,mono_fa_atr,mono_fa_dun,mono_fa_intra_rep,mono_fa_pair,mono_fa_rep,mono_fa_sol,mono_hbond_bb_sc,mono_hbond_lr_bb,mono_hbond_sc,mono_hbond_sr_bb,mono_omega,mono_p_aa_pp,mono_pro_close,mono_rama,mono_ref,mutability_diff,mutability_first,mutability_second,pi_diff,pi_first,pi_second,polarity2_diff,polarity2_first,polarity2_second,polarity_diff,polarity_first,polarity_second,r_bioluminate_delta_stability,r_bioluminate_delta_stability_coulomb,r_bioluminate_delta_stability_covalent,r_bioluminate_delta_stability_hbond,r_bioluminate_delta_stability_lipo,r_bioluminate_delta_stability_packing,r_bioluminate_delta_stability_reference,r_bioluminate_delta_stability_selfcont,r_bioluminate_delta_stability_solv_gb,r_bioluminate_delta_stability_solv_sa,r_bioluminate_delta_stability_vdw,totalarea,vdw_vol_diff,vdw_vol_first,vdw_vol_second
-0.33,1.39,1.06,1,0,1,0.55,0.75,1.3,0,0,0,10.17,11.5,21.67,4.173,6.07433333333,0,-15.8706666667,1.81266666667,2.28933333333,4.39966666667,2.34766666667,-1.763,-0.513666666667,0.611,0.775333333333,7.37733333333,3.08266666667,0.527,0.0,-1.28733333333,-0.382,0.642333333333,-0.849,0.0676666666667,0.264666666667,-1.57266666667,0.0136666666667,-0.0633333333333,0.139333333333,-0.148,0,0,0,-0.01,0.8,0.79,0.19,0.62,0.81,0,28.47020871,0,3,6,0.012893652,0.388533377,-23.345596,46.771832,21.765713,2,5500,4.08e-14,0,4.5755529,0.003788303,16.07978365,-2.131491846,0.714009603,0,2.9,0.87,3.77,0,-0.001579881,0.070697144,0.0,5.18e-06,12.475116,0.059409197,0.015825583,0.029296875,0.0,0.015208755,0.024328645,-0.53881545,6.64,0.4,1.05,11.2,1.02e-15,106.75,-6.06e-16,0.11457489,0.011196032,-0.05,0.36,0.31,0.964901,99.031,-0.11,0.38,0.27,0.418066,1.94,-1.52,0.42,115,89,204,2.637,0,0,0,0,-13.169,3.288,0.049,0.626,5.92,3.543,-1.805,-0.041,1.975,-0.053,1.06,-0.088,0.141,0.441,0.75,-82,100,18,-0.22,6.11,5.89,-2.7,8.1,5.4,2.1,0.0,2.1,464.745667046,-0.462228729651,170.26766111,0.151276971691,-23.0827534697,-1.82034307628e-08,9.17,0.0,4.57010690878,0,304.131604274,236.879,61.1,13.7,74.8
0.22,0.89,1.11,0,0,0,0.28,0.55,0.83,0,0,0,4.03,11.68,15.71,-0.845333333333,3.44966666667,0,-0.764333333333,0.473666666667,1.865,-2.653,7.09533333333,0.021,0.921333333333,0.0103333333333,-0.87,-0.359333333333,-7.03633333333,1.60566666667,-0.106666666667,2.12866666667,0.0,0.191,-4.20166666667,0.155,0.929666666667,2.37466666667,-0.149,0.930333333333,0.872333333333,0.861,2,-1,1,-0.33,1.33,1.0,-0.6,-0.9,-1.5,0,-154.0184764,0,0,7,0.90296125,17.61163577,-31.050707,-17.414616,-55.189873,0,0,3.48e-15,0,-21.505936,-0.000173871,12.11089414,-1.199495628,0.0,0,0.98,0.66,1.64,0,-5.935279608,0.462246209,0.0,4.42e-07,0.067385755,3.8738923,1.109866,0.38085938,0.92285156,-0.022147173,0.002075735,-0.907820353,0.12,1.35,1.94,-4.22,1.34e-16,41.125,-7.26e-16,7.468648,-0.10624018,-0.04,0.51,0.47,0.813487,59.081,-0.12,0.15,0.03,0.210992,-0.22,-2.6,-2.82,13,133,146,0.7,0,0,0,0,-0.231,2.657,0.007,0.543,-0.137,-1.569,-1.191,-0.005,-0.442,0.101,0.107,0.418,0.048,0.374,0.02,-50,106,56,6.82,2.77,9.59,-1.7,13.0,11.3,-0.2,49.7,49.5,-20.7137593171,23.3045574417,-0.46440337476,0.61504121343,6.01599752965,0.0,-30.85,0.0,-18.1906216683,0,-1.14433045887,280.015,31.5,30.0,61.5
0.43,0.89,1.32,0,0,0,0.55,0.55,1.1,1,0,1,9.72,11.68,21.4,0.395333333333,-5.83466666667,0,-3.80133333333,0.035,1.716,-1.316,1.13333333333,-0.228666666667,1.25533333333,0.0743333333333,-0.466666666667,0.538,-9.20133333333,-0.174666666667,0.08,0.257,0.0,0.0273333333333,-1.61866666667,0.006,0.106666666667,1.84933333333,-0.0663333333333,0.524,0.488,2.553,1,-1,0,-0.65,1.33,0.68,1.96,-0.9,1.06,0,-154.0184764,0,0,7,0.55139828,13.99021686,-34.601807,-9.3424368,-46.542091,0,0,-2.64e-17,0,-14.268729,9.34e-05,12.11089414,-1.199495628,0.0,0,1.51,0.66,2.17,0,-5.935279608,0.462246209,0.0,-3.35e-09,6.1085191,2.3657064,0.67771262,0.24902344,0.39550781,-0.014800833,-1.57e-05,-1.190039299,-1.68,-1.6,0.29,-2.23,-2.13e-17,25.25,-1.09e-15,4.5609508,-0.37018433,-0.14,0.51,0.37,0.813487,59.081,0.3,0.15,0.45,0.210992,2.47,-2.6,-0.13,-2,133,131,-1.415,0,0,0,0,-1.269,1.704,-0.007,0.734,1.358,-5.339,-1.267,0.065,1.592,0.022,-0.17,0.259,0.058,0.274,0.57,-66,106,40,3.21,2.77,5.98,-8.1,13.0,4.9,-49.57,49.7,0.13,-25.0698010707,21.6443010233,3.89419562449,1.34665954885,-9.57737466944,0.0,-48.15,0.0,8.02825687893,0,-2.25583947681,280.015,14.4,30.0,44.4
0.28,0.89,1.17,0,0,0,0.36,0.55,0.91,0,0,0,2.6,11.68,14.28,-0.912,-1.935,0,-5.61566666667,0.508333333333,2.05,-2.256,5.39133333333,-0.420666666667,1.48533333333,0.0373333333333,-0.417333333333,-0.114333333333,-4.34166666667,1.05066666667,-0.00299999999999,0.211666666667,0.0,0.078,-2.588,0.114,0.633333333333,0.676333333333,-0.059,0.614333333333,0.858333333333,1.083,2,-1,1,-0.42,1.33,0.91,-1.63,-0.9,-2.53,0,-154.0184764,0,0,7,2.1040201,12.01519283,-32.182667,-25.678726,-60.541031,0,0,1.51e-15,0,-25.98922,-0.000151376,12.11089414,-1.199495628,0.0,0,0.19,0.66,0.85,0,-5.935279608,0.462246209,0.0,1.92e-07,-0.40405539,9.0267649,2.5859342,0.65917969,0.92285156,-0.026303936,0.000902367,-1.631344703,-1.44,2.4,1.91,-8.34,4.58e-16,59.5,2.23e-15,17.403099,0.7925877,0.02,0.51,0.53,0.813487,59.081,-0.14,0.15,0.01,0.210992,-0.24,-2.6,-2.84,41,133,174,0.55,0,0,0,0,-2.861,1.529,-0.004,0.562,0.482,1.955,-1.476,-0.169,0.55,-0.078,0.119,0.124,0.082,0.043,-0.31,-41,106,65,8.38,2.77,11.15,-2.5,13.0,10.5,2.3,49.7,52.0,-30.009160232,48.5006836932,5.87960228322,1.0695285368,-9.74867146387,-0.122373923036,-16.18,0.0,-54.952045009,0,-4.45588434926,280.015,47.3,30.0,77.3
-0.07,0.89,0.82,0,0,0,0.3,0.55,0.85,0,0,0,-2.21,11.68,9.47,-0.235333333333,1.728,0,0.845333333333,-0.0346666666667,0.826333333333,-1.8,1.887,0.0923333333333,-0.491333333333,-0.005,-0.400333333333,-0.337666666667,-2.06033333333,0.374,0.0,-0.00233333333333,0.00666666666666,0.619333333333,-0.309,0.00666666666667,0.00866666666667,0.791333333333,0.0136666666667,0.091,0.246666666667,1.594,1,-1,0,-0.09,1.33,1.24,0.72,-0.9,-0.18,0,-154.0184764,0,0,7,1.6158744,75.98237204,-15.27532,27.374683,5.7073298,0,0,3.05e-15,0,105.98349,-0.000775434,12.11089414,-1.199495628,0.0,0,-0.59,0.66,0.07,0,-5.935279608,0.462246209,0.0,3.87e-07,-14.601955,6.9344769,1.9850566,0.51269531,0.39550781,-0.003460997,0.001817406,0.25265014,-0.55,-1.37,-0.18,0.56,-3.2e-16,-19.25,4.12e-15,13.369303,0.82592064,0.0,0.51,0.51,0.561373,44.733,0.07,0.15,0.22,0.218313,0.73,-2.6,-1.87,-28,133,105,0.055,0,0,0,0,2.601,0.486,-0.003,0.121,0.328,-3.252,-0.076,-0.068,-0.331,0.086,-0.112,0.035,0.007,-0.066,0.3,14,106,120,2.91,2.77,5.68,-3.8,13.0,9.2,-48.03,49.7,1.67,-1.3159867146,30.5149433359,8.25862683034,0.56168849179,-0.010495893152,0.0,-40.42,-3.6282324461,2.6109737939,0,0.796509172728,204.903,-11.7,30.0,18.3
0.28,0.89,1.17,0,0,0,0.36,0.55,0.91,0,0,0,2.6,11.68,14.28,0.301,-0.513,0,-0.185,0.056,2.419,-4.553,2.922,-0.902,2.389,0.215,0.368,-0.398,-3.189,1.658,-0.01,0.008,-0.021,0.005,-1.777,-0.059,-0.422,1.422,-0.179,-0.883,-0.78,1.083,2,-1,1,-0.42,1.33,0.91,-1.63,-0.9,-2.53,0,-154.0184764,0,0,7,2.5740759,180.1422554,47.229137,46.50161,92.991379,0,0,2.36e-13,0,152.18715,0.0140442,12.11089414,-1.199495628,0.0,0,0.19,0.66,0.85,0,-5.935279608,0.462246209,0.0,3e-05,-3.1071069,10.982322,3.1653428,0.92285156,0.92285156,0.034127049,0.14083162,1.151340738,0.92,2.77,0.33,-1.46,-1.03e-15,68.375,2.11e-15,21.172747,1.3485087,0.02,0.51,0.53,0.612816,55.142,-0.14,0.15,0.01,0.243573,-0.24,-2.6,-2.84,41,133,174,-0.881,0,0,0,0,1.64,0.953,0.001,0.395,-0.245,-2.57,-0.078,0.017,-0.57,0.091,-0.05,0.012,0.002,-0.17,-0.31,-41,106,65,8.38,2.77,11.15,-2.5,13.0,10.5,2.3,49.7,52.0,-4.1952748172,56.3765102439,13.4000559003,0.822372073008,-4.76696184119,0.0,-13.08,0.0,-55.5547008985,0,-1.39255029476,226.388,47.3,30.0,77.3
0.28,0.89,1.17,0,0,0,0.36,0.55,0.91,0,0,0,2.6,11.68,14.28,0.024,1.962,0,0.0330000000001,-0.031,1.905,-2.255,3.004,-0.857,1.271,0.13,0.218,-0.149,-2.309,0.043,0.0,0.002,-0.091,0.001,-1.925,0.038,0.29,1.012,0.275,0.452,-0.203,1.083,2,-1,1,-0.42,1.33,0.91,-1.63,-0.9,-2.53,0,-154.0184764,0,0,7,2.5716751,150.9733877,8.6295938,22.150785,24.513861,0,0,1.23e-13,0,78.884163,0.006239118,12.11089414,-1.199495628,0.0,0,0.19,0.66,0.85,0,-5.935279608,0.462246209,0.0,1.57e-05,-6.412271,11.00135,3.1615067,0.92285156,0.92285156,0.025326865,0.073435687,0.659381926,0.43,2.35,0.2,-1.81,-3.1e-16,59.25,7.05e-15,21.2097,1.2878977,0.02,0.51,0.53,0.683904,39.95,-0.14,0.15,0.01,0.174484,-0.24,-2.6,-2.84,41,133,174,0.453,0,0,0,0,1.87,1.78,0.0,0.117,-0.317,-2.602,0.071,0.027,-0.58,0.251,0.007,0.158,0.006,-0.024,-0.31,-41,106,65,8.38,2.77,11.15,-2.5,13.0,10.5,2.3,49.7,52.0,-10.4457574138,33.3257266819,7.3237859315,-1.83361386383,-2.32918654146,0.0,-13.0,0.0,-34.3014645637,0,0.368994941822,228.961,47.3,30.0,77.3
0.43,0.89,1.32,0,0,0,0.55,0.55,1.1,1,0,1,9.72,11.68,21.4,0.114,-1.617,0,-0.67,-0.155,0.275,-2.158,-0.015,-0.036,0.266,0.149,-0.625,-0.122,-0.822,-0.032,0.0,0.033,-0.047,0.0,0.128,-0.025,-0.319,0.285,0.045,-0.464,0.029,2.553,1,-1,0,-0.65,1.33,0.68,1.96,-0.9,1.06,0,-154.0184764,0,0,7,1.6202027,151.230384,-57.141266,112.48318,48.528717,0,0,6.79e-14,0,14.35593,-0.003174759,12.11089414,-1.199495628,0.0,0,1.51,0.66,2.17,0,-5.935279608,0.462246209,0.0,8.61e-06,-126.79214,6.9514542,1.9898887,0.51269531,0.39550781,0.031140231,0.040459331,-0.080804393,-0.93,-0.8,-0.03,-1.0,-4.47e-16,49.125,7.64e-16,13.402019,0.89925456,-0.14,0.51,0.37,0.559064,29.54,0.3,0.15,0.45,0.152417,2.47,-2.6,-0.13,-2,133,131,-0.479,0,0,0,0,1.526,0.566,0.005,0.241,0.046,-2.588,0.072,-0.007,-0.601,0.07,-0.011,-0.296,0.004,-0.077,0.57,-66,106,40,3.21,2.77,5.98,-8.1,13.0,4.9,-49.57,49.7,0.13,0.358064417674,23.9915365571,10.2294007642,0.519111276066,-3.54665703041,0.0,-43.86,0.0,14.032694989,0,-1.00802213826,193.811,14.4,30.0,44.4
0.28,0.89,1.17,0,0,0,0.36,0.55,0.91,0,0,0,2.6,11.68,14.28,0.0573333333333,-0.683666666667,0,-0.64,-0.135666666667,1.479,-2.145,0.283,-0.461333333333,0.534,-0.0256666666667,-0.039,-0.279,0.618333333333,-0.215666666667,0.0,0.00666666666666,-0.0243333333333,0.004,-0.0363333333333,-0.026,-0.290333333333,-0.00400000000002,-0.00166666666667,-0.232333333333,-0.190333333333,1.083,2,-1,1,-0.42,1.33,0.91,-1.63,-0.9,-2.53,0,-154.0184764,0,0,7,2.5787127,162.5532977,21.409117,38.194519,64.365326,0,0,8.88e-14,0,43.419998,-0.002387692,12.11089414,-1.199495628,0.0,0,0.19,0.66,0.85,0,-5.935279608,0.462246209,0.0,1.13e-05,13.608563,11.057155,3.1671512,0.92285156,0.92285156,0.056791954,0.052934818,0.459592753,-0.04,0.77,-0.01,-0.84,-9.15e-17,65.0,2.2e-15,21.31752,1.6604531,0.02,0.51,0.53,0.559064,29.54,-0.14,0.15,0.01,0.152417,-0.24,-2.6,-2.84,41,133,174,-0.344,0,0,0,0,0.454,1.477,0.008,0.512,0.105,-1.005,-0.1,0.05,-1.618,-0.042,0.444,-0.279,0.014,-0.056,-0.31,-41,106,65,8.38,2.77,11.15,-2.5,13.0,10.5,2.3,49.7,52.0,-10.5874976095,44.0079542519,12.3554428082,-3.62197704154,-3.72931808543,-5.27990689037e-06,-13.87,0.0,-42.0374889313,0,-3.69210533153,193.811,47.3,30.0,77.3
0.28,0.89,1.17,0,0,0,0.36,0.55,0.91,0,0,0,2.6,11.68,14.28,0.293333333333,-4.02866666667,0,-5.03133333333,0.147,2.84,-4.95233333333,-2.346,-0.478,1.24333333333,0.145666666667,0.101333333333,0.292333333333,0.690333333333,0.063,-0.0566666666667,1.75533333333,0.0173333333333,-0.00466666666667,-0.0363333333333,-0.017,-0.165666666667,-0.182,0.014,0.302,0.255,1.083,2,-1,1,-0.42,1.33,0.91,-1.63,-0.9,-2.53,0,-154.0184764,0,0,7,2.5774233,101.625447,13.976837,5.6960721,1.1363962,0,0,3.15e-14,0,-97.517235,0.011920537,12.11089414,-1.199495628,0.0,0,0.19,0.66,0.85,0,-5.935279608,0.462246209,0.0,4e-06,4.4447556,11.064555,3.1665092,0.92285156,0.92285156,0.021176346,0.018796425,0.349215061,-0.82,0.74,1.77,-5.22,2.77e-16,61.75,2.86e-15,21.331907,1.5127946,0.02,0.51,0.53,0.783109,40.512,-0.14,0.15,0.01,0.15453,-0.24,-2.6,-2.84,41,133,174,-0.268,0,0,0,0,0.675,1.132,0.007,0.028,0.351,-0.91,-0.179,-0.124,-1.063,0.237,-0.133,0.079,0.0,-0.06,-0.31,-41,106,65,8.38,2.77,11.15,-2.5,13.0,10.5,2.3,49.7,52.0,-3.94196537343,37.9249617905,9.34685687929,0.243862994846,-5.38827001412,-0.62849432253,-8.92,0.0,-34.532863546,0,-1.98801915548,262.163,47.3,30.0,77.3
